subregion_name,region,Label,Yeo_7network,Yeo_17network
A8m,SFG_L_7_1,1,6,17
A8m,SFG_R_7_1,2,4,8
A8dl,SFG_L_7_2,3,7,16
A8dl,SFG_R_7_2,4,6,13
A9l,SFG_L_7_3,5,7,17
A9l,SFG_R_7_3,6,7,17
A6dl,SFG_L_7_4,7,3,6
A6dl,SFG_R_7_4,8,3,6
A6m,SFG_L_7_5,9,2,3
A6m,SFG_R_7_5,10,2,3
A9m,SFG_L_7_6,11,7,13
A9m,SFG_R_7_6,12,6,13
A10m,SFG_L_7_7,13,7,16
A10m,SFG_R_7_7,14,7,16
A9/46d,MFG_L_7_1,15,4,8
A9/46d,MFG_R_7_1,16,6,11
IFJ,MFG_L_7_2,17,6,12
IFJ,MFG_R_7_2,18,6,12
A46,MFG_L_7_3,19,6,13
A46,MFG_R_7_3,20,6,13
A9/46v,MFG_L_7_4,21,6,12
A9/46v,MFG_R_7_4,22,6,8
A8vl,MFG_L_7_5,23,7,16
A8vl,MFG_R_7_5,24,6,13
A6vl,MFG_L_7_6,25,3,6
A6vl,MFG_R_7_6,26,3,12
A10l,MFG_L_7_7,27,5,10
A10l,MFG_R_7_7,28,6,13
A44d,IFG_L_6_1,29,6,12
A44d,IFG_R_6_1,30,3,12
IFS,IFG_L_6_2,31,6,12
IFS,IFG_R_6_2,32,6,12
A45c,IFG_L_6_3,33,7,17
A45c,IFG_R_6_3,34,7,17
A45r,IFG_L_6_4,35,7,17
A45r,IFG_R_6_4,36,6,8
A44op,IFG_L_6_5,37,4,7
A44op,IFG_R_6_5,38,4,8
A44v,IFG_L_6_6,39,4,8
A44v,IFG_R_6_6,40,4,8
A14m,OrG_L_6_1,41,7,16
A14m,OrG_R_6_1,42,7,16
A12/47o,OrG_L_6_2,43,7,17
A12/47o,OrG_R_6_2,44,7,17
A11l,OrG_L_6_3,45,5,10
A11l,OrG_R_6_3,46,6,12
A11m,OrG_L_6_4,47,5,10
A11m,OrG_R_6_4,48,5,10
A13,OrG_L_6_5,49,5,10
A13,OrG_R_6_5,50,5,10
A12/47l,OrG_L_6_6,51,7,17
A12/47l,OrG_R_6_6,52,7,17
A4hf,PrG_L_6_1,53,2,4
A4hf,PrG_R_6_1,54,2,4
A6cdl,PrG_L_6_2,55,3,6
A6cdl,PrG_R_6_2,56,3,6
A4ul,PrG_L_6_3,57,2,3
A4ul,PrG_R_6_3,58,2,3
A4t,PrG_L_6_4,59,2,3
A4t,PrG_R_6_4,60,2,3
A4tl,PrG_L_6_5,61,4,7
A4tl,PrG_R_6_5,62,4,7
A6cvl,PrG_L_6_6,63,3,12
A6cvl,PrG_R_6_6,64,3,12
A1/2/3ll,PCL_L_2_1,65,4,7
A1/2/3ll,PCL_R_2_1,66,2,3
A4ll,PCL_L_2_2,67,2,3
A4ll,PCL_R_2_2,68,2,3
A38m,STG_L_6_1,69,5,9
A38m,STG_R_6_1,70,5,9
A41/42,STG_L_6_2,71,2,4
A41/42,STG_R_6_2,72,2,4
TE1.0/TE1.2,STG_L_6_3,73,2,4
TE1.0/TE1.2,STG_R_6_3,74,2,4
A22c,STG_L_6_4,75,2,14
A22c,STG_R_6_4,76,2,4
A38l,STG_L_6_5,77,5,9
A38l,STG_R_6_5,78,5,9
A22r,STG_L_6_6,79,7,14
A22r,STG_R_6_6,80,7,17
A21c,MTG_L_4_1,81,7,17
A21c,MTG_R_4_1,82,6,13
A21r,MTG_L_4_2,83,7,17
A21r,MTG_R_4_2,84,7,17
A37dl,MTG_L_4_3,85,3,6
A37dl,MTG_R_4_3,86,3,6
aSTS,MTG_L_4_4,87,7,17
aSTS,MTG_R_4_4,88,7,14
A20iv,ITG_L_7_1,89,5,9
A20iv,ITG_R_7_1,90,5,9
A37elv,ITG_L_7_2,91,3,5
A37elv,ITG_R_7_2,92,3,5
A20r,ITG_L_7_3,93,5,9
A20r,ITG_R_7_3,94,5,9
A20il,ITG_L_7_4,95,7,17
A20il,ITG_R_7_4,96,5,17
A37vl,ITG_L_7_5,97,3,12
A37vl,ITG_R_7_5,98,3,5
A20cl,ITG_L_7_6,99,6,13
A20cl,ITG_R_7_6,100,6,13
A20cv,ITG_L_7_7,101,5,9
A20cv,ITG_R_7_7,102,5,9
A20rv,FuG_L_3_1,103,5,9
A20rv,FuG_R_3_1,104,5,9
A37mv,FuG_L_3_2,105,1,1
A37mv,FuG_R_3_2,106,1,1
A37lv,FuG_L_3_3,107,3,5
A37lv,FuG_R_3_3,108,1,5
A35/36r,PhG_L_6_1,109,5,9
A35/36r,PhG_R_6_1,110,5,9
A35/36c,PhG_L_6_2,111,5,15
A35/36c,PhG_R_6_2,112,1,15
TL,PhG_L_6_3,113,1,15
TL,PhG_R_6_3,114,1,15
A28/34,PhG_L_6_4,115,5,9
A28/34,PhG_R_6_4,116,5,9
TI,PhG_L_6_5,117,5,9
TI,PhG_R_6_5,118,5,9
TH,PhG_L_6_6,119,1,2
TH,PhG_R_6_6,120,1,2
rpSTS,pSTS_L_2_1,121,7,14
rpSTS,pSTS_R_2_1,122,7,14
cpSTS,pSTS_L_2_2,123,4,14
cpSTS,pSTS_R_2_2,124,4,14
A7r,SPL_L_5_1,125,3,6
A7r,SPL_R_5_1,126,3,6
A7c,SPL_L_5_2,127,3,5
A7c,SPL_R_5_2,128,3,5
A5l,SPL_L_5_3,129,3,6
A5l,SPL_R_5_3,130,3,6
A7pc,SPL_L_5_4,131,2,3
A7pc,SPL_R_5_4,132,2,3
A7ip,SPL_L_5_5,133,3,5
A7ip,SPL_R_5_5,134,3,5
A39c,IPL_L_6_1,135,1,5
A39c,IPL_R_6_1,136,1,5
A39rd,IPL_L_6_2,137,6,12
A39rd,IPL_R_6_2,138,6,12
A40rd,IPL_L_6_3,139,3,6
A40rd,IPL_R_6_3,140,3,6
A40c,IPL_L_6_4,141,7,17
A40c,IPL_R_6_4,142,6,13
A39rv,IPL_L_6_5,143,3,14
A39rv,IPL_R_6_5,144,7,16
A40rv,IPL_L_6_6,145,2,4
A40rv,IPL_R_6_6,146,2,4
A7m,PCun_L_4_1,147,6,11
A7m,PCun_R_4_1,148,6,11
A5m,PCun_L_4_2,149,2,3
A5m,PCun_R_4_2,150,3,6
dmPOS,PCun_L_4_3,151,1,2
dmPOS,PCun_R_4_3,152,1,2
A31,PCun_L_4_4,153,7,16
A31,PCun_R_4_4,154,7,16
A1/2/3ulhf,PoG_L_4_1,155,2,4
A1/2/3ulhf,PoG_R_4_1,156,2,4
A1/2/3tonIa,PoG_L_4_2,157,2,4
A1/2/3tonIa,PoG_R_4_2,158,2,4
A2,PoG_L_4_3,159,3,6
A2,PoG_R_4_3,160,2,3
A1/2/3tru,PoG_L_4_4,161,2,3
A1/2/3tru,PoG_R_4_4,162,2,3
G,INS_L_6_1,163,2,4
G,INS_R_6_1,164,2,4
vIa,INS_L_6_2,165,0,0
vIa,INS_R_6_2,166,6,8
dIa,INS_L_6_3,167,4,8
dIa,INS_R_6_3,168,4,8
vId/vIg,INS_L_6_4,169,4,7
vId/vIg,INS_R_6_4,170,4,7
dIg,INS_L_6_5,171,2,4
dIg,INS_R_6_5,172,2,4
dId,INS_L_6_6,173,4,7
dId,INS_R_6_6,174,4,7
A23d,CG_L_7_1,175,7,16
A23d,CG_R_7_1,176,7,16
A24rv,CG_L_7_2,177,0,0
A24rv,CG_R_7_2,178,0,0
A32p,CG_L_7_3,179,7,16
A32p,CG_R_7_3,180,4,8
A23v,CG_L_7_4,181,7,15
A23v,CG_R_7_4,182,1,15
A24cd,CG_L_7_5,183,4,7
A24cd,CG_R_7_5,184,4,7
A23c,CG_L_7_6,185,4,8
A23c,CG_R_7_6,186,4,7
A32sg,CG_L_7_7,187,7,16
A32sg,CG_R_7_7,188,7,16
cLinG,MVOcC_L_5_1,189,1,1
cLinG,MVOcC_R_5_1,190,1,1
rCunG,MVOcC_L_5_2,191,1,2
rCunG,MVOcC_R_5_2,192,1,2
cCunG,MVOcC_L_5_3,193,1,1
cCunG,MVOcC_R_5_3,194,1,1
rLinG,MVOcC_L_5_4,195,1,2
rLinG,MVOcC_R_5_4,196,1,1
vmPOS,MVOcC_L_5_5,197,1,2
vmPOS,MVOcC_R_5_5,198,1,2
mOccG,LOcC_L_4_1,199,1,1
mOccG,LOcC_R_4_1,200,1,1
V5/MT+,LOcC_L_4_2,201,3,5
V5/MT+,LOcC_R_4_2,202,1,5
OPC,LOcC_L_4_3,203,1,1
OPC,LOcC_R_4_3,204,1,1
iOccG,LOcC_L_4_4,205,1,1
iOccG,LOcC_R_4_4,206,1,1
msOccG,LOcC_L_2_1,207,1,2
msOccG,LOcC_R_2_1,208,1,2
lsOccG,LOcC_L_2_2,209,1,1
lsOccG,LOcC_R_2_2,210,1,5
mAmyg,Amyg_L_2_1,211,0,0
mAmyg,Amyg_R_2_1,212,0,0
lAmyg,Amyg_L_2_2,213,0,0
lAmyg,Amyg_R_2_2,214,0,0
rHipp,Hipp_L_2_1,215,0,0
rHipp,Hipp_R_2_1,216,0,0
cHipp,Hipp_L_2_2,217,0,0
cHipp,Hipp_R_2_2,218,0,0
vCa,BG_L_6_1,219,0,0
vCa,BG_R_6_1,220,0,0
GP,BG_L_6_2,221,0,0
GP,BG_R_6_2,222,0,0
NAC,BG_L_6_3,223,0,0
NAC,BG_R_6_3,224,0,0
vmPu,BG_L_6_4,225,0,0
vmPu,BG_R_6_4,226,0,0
dCa,BG_L_6_5,227,0,0
dCa,BG_R_6_5,228,0,0
dlPu,BG_L_6_6,229,0,0
dlPu,BG_R_6_6,230,0,0
mPFtha,Tha_L_8_1,231,0,0
mPFtha,Tha_R_8_1,232,0,0
mPMtha,Tha_L_8_2,233,0,0
mPMtha,Tha_R_8_2,234,0,0
Stha,Tha_L_8_3,235,0,0
Stha,Tha_R_8_3,236,0,0
rTtha,Tha_L_8_4,237,0,0
rTtha,Tha_R_8_4,238,0,0
PPtha,Tha_L_8_5,239,0,0
PPtha,Tha_R_8_5,240,0,0
Otha,Tha_L_8_6,241,0,0
Otha,Tha_R_8_6,242,0,0
cTtha,Tha_L_8_7,243,0,0
cTtha,Tha_R_8_7,244,0,0
lPFtha,Tha_L_8_8,245,0,0
lPFtha,Tha_R_8_8,246,0,0
